flight,sector,eto_hour,eto_minute,eto_second
450,ufxf,07,41,0
450,uttup,07,47,0
450,uttu,07,47,0
450,ugw,08,00,0
451,pv,07,41,0
451,ugw,07,50,0
452,ugw,07,41,0
452,uttup,08,01,0
452,uttu,08,01,0
453,ufxf,07,41,0
453,uh,07,46,0
454,ufxf,07,42,0
455,pv,07,42,0
455,ugw,07,58,0
455,ua,08,20,0
455,uaus,08,20,0
456,uttup,07,42,0
456,uttu,07,57,0
457,ua,07,43,0
457,uaus,07,43,0
458,uaus,07,43,0
458,ua,07,58,0
458,ugw,08,07,0
458,uttup,08,17,0
458,uttu,08,17,0
459,uh,07,43,0
459,ufxf,07,51,0
460,uttup,07,44,0
460,uttu,08,00,0
461,tpth,07,44,0
462,ugw,07,44,0
462,uttup,08,09,0
462,uttu,08,13,0
463,tpth,07,44,0
464,ua,07,45,0
464,uaus,07,45,0
465,ua,07,45,0
465,uaus,07,45,0
466,tpth,07,45,0
467,tpth,07,46,0
468,pv,07,47,0
469,ua,07,47,0
469,uaus,07,47,0
470,uaus,07,47,0
471,tpth,07,48,0
472,ufxf,07,50,0
472,uh,07,57,0
473,ua,07,51,0
473,uaus,07,51,0
473,uh,08,21,0
474,pv,07,52,0
475,uh,07,52,0
476,tpth,07,52,0
477,pv,07,53,0
478,ua,07,54,0
478,uaus,07,54,0
478,ugw,08,07,0
478,uttup,08,17,0
478,uttu,08,17,0
479,uttup,07,54,0
479,uttu,08,08,0
480,ugw,07,54,0
480,uttup,08,14,0
480,uttu,08,14,0
481,uttup,07,55,0
481,uttu,07,55,0
482,pv,07,55,0
483,ua,07,56,0
483,uaus,07,56,0
484,ugw,07,56,0
485,ufxf,07,57,0
485,uh,08,13,0
486,uttup,07,57,0
486,uttu,07,57,0
487,tpth,07,57,0
488,uaus,07,57,0
489,ufxf,07,58,0
490,ufxf,07,58,0
490,uh,08,03,0
491,uttup,07,59,0
491,uttu,08,15,0
492,ua,07,59,0
492,uaus,07,59,0
492,ugw,08,12,0
492,uttup,08,25,0
492,uttu,08,25,0
493,ua,08,00,0
493,uaus,08,00,0
494,pv,08,00,0
494,ugw,08,09,0
494,ua,08,30,0
494,uaus,08,30,0
495,ugw,08,01,0
495,uttup,08,22,0
495,uttu,08,22,0
496,pv,08,01,0
497,uttup,08,02,0
497,uttu,08,13,0
498,ufxf,08,02,0
498,uh,08,15,0
499,uh,08,04,0
500,ufxf,08,05,0
500,uh,08,18,0
501,ufxf,08,05,0
501,uh,08,17,0
502,pv,08,05,0
503,ufxf,08,05,0
503,uh,08,10,0
504,uh,08,05,0
505,pv,08,09,0
505,ugw,08,18,0
505,ua,08,40,0
505,uaus,08,40,0
506,ugw,08,09,0
506,uttup,08,33,0
506,uttu,08,33,0
507,uttup,08,10,0
507,uttu,08,24,0
508,ua,08,11,0
508,uaus,08,11,0
509,uh,08,11,0
509,ugw,08,34,0
510,pv,08,11,0
510,ugw,08,27,0
510,ua,08,50,0
510,uaus,08,50,0
511,ua,08,11,0
511,uaus,08,11,0
512,uttup,08,12,0
512,uttu,08,12,0
513,ugw,08,12,0
513,ua,08,36,0
513,uaus,08,36,0
514,uh,08,14,0
514,ufxf,08,30,0
515,uh,08,14,0
515,ugw,08,37,0
516,pv,08,14,0
516,ugw,08,22,0
516,ua,08,43,0
516,uaus,08,43,0
517,uh,08,14,0
517,ufxf,08,30,0
518,uh,08,15,0
518,ua,08,37,0
518,uaus,08,37,0
519,uttup,08,16,0
519,uttu,08,31,0
520,pv,08,16,0
521,ua,08,17,0
521,uaus,08,17,0
521,uh,08,43,0
522,uh,08,18,0
523,uttup,08,19,0
523,uttu,08,19,0
524,ugw,08,19,0
525,ua,08,19,0
525,uaus,08,19,0
525,ugw,08,31,0
525,uttup,08,43,0
525,uttu,08,43,0
526,uh,08,20,0
526,ufxf,08,28,0
527,pv,08,21,0
528,uttup,08,22,0
528,ugw,08,38,0
529,ua,08,22,0
529,uaus,08,22,0
529,ugw,08,32,0
530,pv,08,22,0
530,ugw,08,39,0
531,pv,08,22,0
531,ugw,08,36,0
531,ua,08,58,0
531,uaus,08,58,0
532,ua,08,23,0
532,uaus,08,23,0
533,ua,08,24,0
533,uaus,08,24,0
533,uh,08,55,0
534,ua,08,24,0
534,uaus,08,24,0
534,uh,08,52,0
535,uttup,08,25,0
535,uttu,08,25,0
536,ufxf,08,25,0
536,uh,08,37,0
537,uttup,08,26,0
537,uttu,08,42,0
538,pv,08,27,0
538,ugw,08,39,0
538,ua,09,00,0
539,pv,08,27,0
539,ugw,08,43,0
540,ugw,08,27,0
541,ugw,08,28,0
541,ua,08,35,0
541,uaus,08,35,0
542,ugw,08,30,0
543,ua,08,31,0
543,uaus,08,31,0
544,uh,08,31,0
544,ufxf,08,43,0
545,ufxf,08,31,0
545,uh,08,41,0
546,uttup,08,32,0
546,uttu,08,43,0
547,pv,08,32,0
548,ua,08,34,0
548,uaus,08,34,0
549,ua,08,34,0
549,uaus,08,34,0
550,ugw,08,35,0
550,uttup,08,56,0
550,uttu,08,56,0
551,uh,08,35,0
552,ufxf,08,36,0
553,uttup,08,36,0
553,uttu,08,36,0
554,pv,08,36,0
554,ugw,08,50,0
554,ua,09,12,0
555,uttup,08,37,0
555,uttu,08,48,0
556,uh,08,37,0
556,ufxf,08,44,0
557,ugw,08,38,0
558,uh,08,38,0
559,ugw,08,39,0
559,ua,08,42,0
559,uaus,08,42,0
560,pv,08,40,0
560,ugw,08,49,0
561,ufxf,08,40,0
561,uh,08,52,0
562,uttup,08,40,0
562,uttu,08,49,0
563,ufxf,08,41,0
563,uh,08,51,0
564,pv,08,42,0
565,uttup,08,42,0
565,uttu,08,42,0
566,ua,08,43,0
566,uaus,08,43,0
567,ufxf,08,43,0
567,uh,08,48,0
568,ugw,08,44,0
568,uttup,09,04,0
568,uttu,09,04,0
569,ua,08,44,0
569,uaus,08,44,0
570,ua,08,44,0
570,uaus,08,44,0
571,ufxf,08,44,0
571,uh,08,51,0
572,uh,08,45,0
572,ufxf,08,56,0
573,uttup,08,45,0
573,uttu,09,03,0
574,ugw,08,46,0
575,ufxf,08,46,0
576,uh,08,46,0
576,ufxf,08,52,0
577,pv,08,47,0
577,ugw,08,59,0
577,ua,09,20,0
578,ufxf,08,47,0
578,uh,08,54,0
579,ua,08,48,0
579,uaus,08,48,0
580,ugw,08,48,0
580,uttup,09,10,0
580,uttu,09,10,0
581,uttup,08,49,0
581,uttu,08,49,0
582,uh,08,50,0
583,ua,08,51,0
583,uaus,08,51,0
583,ugw,09,01,0
583,uttup,09,13,0
583,uttu,09,13,0
584,ugw,08,51,0
585,uttup,08,51,0
585,uttu,09,08,0
586,ufxf,08,51,0
587,ufxf,08,52,0
588,ufxf,08,53,0
589,uttup,08,53,0
589,uttu,09,07,0
590,ua,08,54,0
590,uaus,08,54,0
591,ufxf,08,55,0
591,uh,09,07,0
592,ugw,08,55,0
593,ugw,08,55,0
594,uttup,08,56,0
594,uttu,08,56,0
595,ufxf,08,56,0
595,uh,09,02,0
596,uh,08,56,0
597,pv,08,57,0
597,ugw,09,13,0
598,pv,08,57,0
599,ugw,08,58,0
599,uttup,09,25,0
599,uttu,09,25,0
600,ua,08,58,0
600,uaus,08,58,0
601,pv,08,59,0
601,ugw,09,13,0
602,uh,08,59,0
602,ufxf,09,05,0
603,ufxf,09,00,0
604,ufxf,09,00,0
604,uh,09,06,0
605,pv,09,01,0
605,ugw,09,16,0
605,ua,09,37,0
606,uh,09,01,0
607,ugw,09,02,0
608,uttup,09,05,0
608,uttu,09,05,0
609,ufxf,09,06,0
609,uh,09,15,0
610,ua,09,07,0
611,ugw,09,07,0
611,uttup,09,28,0
611,uttu,09,28,0
612,ua,09,07,0
613,pv,09,07,0
613,ugw,09,22,0
614,ugw,09,08,0
614,uttup,09,31,0
614,uttu,09,31,0
615,ugw,09,09,0
616,ufxf,09,10,0
616,uh,09,22,0
617,pv,09,11,0
617,ugw,09,25,0
617,ua,09,47,0
618,ugw,09,11,0
618,uttup,09,32,0
618,uttu,09,32,0
619,ua,09,12,0
619,ugw,09,21,0
620,pv,09,12,0
620,ugw,09,22,0
620,ua,09,42,0
621,ua,09,13,0
622,ufxf,09,13,0
622,uh,09,24,0
623,uttup,09,14,0
623,uttu,09,14,0
624,ufxf,09,15,0
624,uh,09,27,0
625,uttup,09,15,0
625,uttu,09,15,0
626,ufxf,09,15,0
626,uh,09,27,0
627,ua,09,16,0
628,ugw,09,16,0
629,ufxf,09,19,0
629,uh,09,32,0
630,uh,09,19,0
631,ugw,09,19,0
631,uttup,09,42,0
631,uttu,09,42,0
632,ugw,09,20,0
632,ua,09,38,0
633,uh,09,21,0
633,ufxf,09,29,0
634,ua,09,21,0
634,ugw,09,33,0
634,uttup,09,43,0
634,uttu,09,43,0
635,uh,09,22,0
636,ugw,09,23,0
636,uttup,09,28,0
636,uttu,09,28,0
637,pv,09,23,0
638,ufxf,09,23,0
638,uttup,09,38,0
638,uttu,09,38,0
639,pv,09,24,0
639,ugw,09,40,0
639,ua,10,02,0
640,ugw,09,24,0
641,uttup,09,24,0
641,uttu,09,24,0
642,ua,09,25,0
643,pv,09,25,0
644,ufxf,09,26,0
645,ufxf,09,26,0
645,uh,09,38,0
646,uttup,09,26,0
646,uttu,09,26,0
647,ufxf,09,28,0
647,uh,09,33,0
648,uttup,09,28,0
648,uttu,09,28,0
649,ugw,09,29,0
650,ugw,09,29,0
651,ua,09,29,0
652,ufxf,09,30,0
653,uh,09,30,0
654,ua,09,30,0
655,pv,09,31,0
656,pv,09,31,0
657,pv,09,32,0
657,ugw,09,41,0
658,ugw,09,32,0
658,uttup,09,53,0
658,uttu,09,53,0
659,pv,09,32,0
660,uttup,09,34,0
660,uttu,09,34,0
661,ugw,09,34,0
661,uttup,09,53,0
661,uttu,09,53,0
662,pv,09,36,0
663,uh,09,36,0
663,ufxf,09,44,0
664,pv,09,36,0
665,uttup,09,37,0
665,uttu,09,37,0
666,ua,09,37,0
667,ua,09,37,0
667,ugw,09,40,0
668,uttup,09,38,0
668,uttu,09,38,0
669,ugw,09,38,0
669,uttu,10,03,0
670,ufxf,09,38,0
670,uh,09,43,0
671,pv,09,40,0
671,ugw,09,56,0
671,ua,10,18,0
672,ugw,09,40,0
673,uttup,09,42,0
673,uttu,09,42,0
674,ufxf,09,42,0
674,uh,09,47,0
675,uttup,09,43,0
675,uttu,09,43,0
676,pv,09,43,0
677,pv,09,44,0
677,ugw,10,04,0
678,pv,09,45,0
